,Lagodon rhomboides,Bairdiella chrysoura,Orthopristis chrysoptera,Leiostomus xanthurus,Archosargus probatocephalus,Cynoscion nebulosus,Sardine sp,Opsanus beta,Centropomus undecimalis,Ariopsis felis,Synodus foetens,Acanthostracion quadricornis,Bathygobius soporator,Menidia nan,Eucinostomus nan,Strongylura nan,Syngnathus nan,Mugil nan,Oligoplites saurus,Lutjanus griseus,Chilomycterus schoepfii,Chasmodes saburrae,Brevoortia sp,Gobiosoma nan,Achirus lineatus,Lucania parva,Diapterus auratus,Eugerres plumieri,Sarotherodon melanotheron,Microgobius gulosus,Haemulon plumierii,Chaetodipterus faber,Fundulus similis,Elops saurus,Floridichthys carpio,Myrophis punctatus,Selene vomer,Hippocampus zosterae,Sphyraena borealis,Hippocampus erectus,Short-Snouted Pipefish,Monacanthus ciliatus,Symphurus plagiusa,Prionotus scitulus,Mycteroperca microlepis,Sphoeroides nephelus,Prionotus tribulus,Hypanus sabinus,Stephanolepis hispida,Lutjanus synagris,Diplodus holbrookii,Pogonias cromis,Paralichthys albigutta,Fundulus grandis,Sciaenops ocellatus,Urophycis floridana,Menticirrhus saxatilis,Astroscopus y-graecum,Rhinoptera bonasus,Hypanus americanus,Aluterus schoepfii,Nicholsina usta,Calamus arctifrons,Hypanus say,Negaprion brevirostris,Hemirhamphus meeki
2025-10-15 Night,76,29,1,2,0,14,20,0,0,0,1,7,0,0,518,2,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-22 Day,191,38,1,0,0,13,1381,0,0,0,0,2,0,0,1068,8,18,0,7,1,2,2,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-22 Night,265,28,1,0,1,22,11,1,0,0,0,6,0,11,785,0,18,2,0,0,0,0,0,0,1,10,0,0,0,3,1,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-29 Day,49,12,0,0,1,6,452,0,0,0,0,1,0,11,1008,9,15,1,2,1,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-05 Day,108,13,0,0,0,3,490,0,0,0,0,3,0,0,1016,1,20,0,0,0,2,7,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-05 Night,95,16,1,0,0,5,31,0,1,0,0,6,0,0,445,3,19,1,1,0,0,0,0,5,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-12 Day,64,78,0,0,0,0,181,0,0,0,4,5,0,13,1291,7,35,7,0,0,1,3,0,3,0,4,0,0,0,1,0,0,4,0,0,1,0,13,0,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-12 Night,233,6,1,0,0,2,1,1,0,0,3,4,1,4,961,2,6,1,0,0,2,0,0,1,0,1,1,0,0,5,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-19 Day,140,0,1,0,1,3,541,0,0,0,3,2,0,0,818,0,21,0,4,0,2,4,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-19 Night,175,7,1,1,0,1,59,1,1,0,2,5,0,14,963,0,23,0,0,1,0,3,0,5,0,6,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-03 Day,170,0,1,0,2,0,293,1,0,0,3,5,0,0,794,4,42,3,5,1,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-03 Night,109,8,2,0,1,0,17,1,0,10,4,5,0,49,592,0,31,2,0,0,0,0,0,11,0,5,0,0,0,12,0,0,0,1,0,0,0,8,0,0,1,1,0,0,0,0,1,0,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-10 Night,119,5,1,0,1,2,3,3,1,0,3,5,0,19,795,0,50,10,0,0,0,0,0,50,0,2,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-07 Day,71,1,13,0,0,2,37,3,0,0,2,0,0,1,496,11,13,10,0,0,0,3,0,9,0,3,0,0,1,9,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0
2026-01-07 Night,11,4,9,0,0,0,3,0,0,0,3,1,0,7,259,0,11,12,0,0,0,0,0,1,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-14 Night,19,4,21,0,0,2,0,1,0,0,0,1,0,0,480,3,10,10,0,0,0,0,0,5,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 Night,26,0,75,5,0,0,0,1,0,0,3,0,0,1,152,0,10,145,0,0,0,0,0,16,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-11 Day,154,0,170,326,0,1,0,0,0,0,0,1,0,0,48,0,5,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2026-02-18 Day,68,1,13,19,0,0,31,0,0,0,1,0,0,0,31,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
2026-02-18 Night,41,10,24,170,0,1,0,0,0,19,3,0,0,1,101,0,2,5,0,0,0,0,0,5,0,0,0,0,0,23,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2026-02-25 Night,21,0,10,476,0,0,0,0,0,1,4,0,0,0,16,0,0,29,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2026-03-04 Day,465,3,27,2506,1,1,1,1,0,0,0,4,0,2,242,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,3,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2026-03-04 Night,28,3,14,180,0,0,0,0,0,0,0,0,0,0,45,0,0,8,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2026-03-11 Day,46,0,9,0,1,0,0,0,0,0,1,0,0,0,49,0,1,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-11 Night,35,0,24,252,0,0,0,0,0,2,3,0,0,1,33,2,0,1,0,0,0,0,0,1,1,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
2026-03-18 Day,144,0,22,3,0,0,1,0,0,0,2,0,0,0,50,0,0,350,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0
2026-03-18 Night,82,1,58,163,0,0,0,0,0,1,1,0,1,6,19,3,1,51,0,0,0,0,0,3,0,0,0,0,0,9,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
2026-03-25 Day,87,1,35,0,0,0,1,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2026-04-01 Day,70,0,142,0,0,0,0,0,0,0,5,0,0,0,40,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0
2026-04-01 Night,271,0,191,115,0,0,0,1,0,0,3,0,0,222,59,0,4,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 Day,210,56,577,50,4,1,0,0,0,0,9,0,0,0,163,0,3,2,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08 Night,383,203,920,20,9,0,3,3,0,0,2,1,0,1303,78,1,6,4,0,0,0,0,0,5,2,0,4,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-04-15 Day,309,827,698,0,84,16,0,0,1,0,4,0,0,2,52,4,18,0,0,0,1,2,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-15 Night,140,124,160,50,2,16,2,0,0,1,1,0,0,6,75,1,1,2,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-29 Day,185,282,398,0,49,22,0,1,0,0,4,0,0,0,44,2,9,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-29 Night,97,127,94,40,22,7,1,4,1,3,7,0,0,8,43,3,4,2,0,0,3,2,0,24,0,0,0,2,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-06 Day,277,43,454,0,43,16,0,0,0,0,1,0,0,1,83,4,6,0,0,0,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0
2026-05-06 Night,112,35,186,5,13,8,1,2,1,1,4,1,0,4,25,1,6,3,0,0,2,0,0,24,0,0,0,0,0,6,0,0,3,0,2,0,0,0,0,0,0,0,0,7,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
2026-05-13 Day,253,113,390,24,35,27,0,0,0,1,2,0,0,0,62,8,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0
2026-05-13 Night,41,46,145,74,3,20,10,1,0,5,6,0,0,2,78,2,3,3,0,0,2,0,0,7,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
2026-05-27 Day,304,360,313,1,46,44,20,2,1,0,1,1,0,52,64,2,11,1,2,0,0,3,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2026-05-27 Night,35,35,178,25,14,28,5,0,2,2,3,2,0,16,128,4,6,0,1,2,0,0,0,18,3,0,1,3,0,13,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1
